libelle_region,Classe_DPE,Nombre_logements
Auvergne-Rhône-Alpes,A,2.0
Provence-Alpes-Côte d'Azur,A,12.0
Provence-Alpes-Côte d'Azur,A,2.0
Provence-Alpes-Côte d'Azur,A,2.0
Provence-Alpes-Côte d'Azur,A,2.0
Provence-Alpes-Côte d'Azur,A,2.0
Provence-Alpes-Côte d'Azur,A,0.0
Provence-Alpes-Côte d'Azur,A,0.0
Occitanie,A,3.0
Occitanie,A,1.0
Occitanie,A,2.0
Occitanie,A,0.0
Occitanie,A,16.0
Occitanie,A,1.0
Occitanie,A,11.0
Occitanie,A,1.0
Provence-Alpes-Côte d'Azur,A,2.0
Provence-Alpes-Côte d'Azur,A,38.0
Provence-Alpes-Côte d'Azur,A,1.0
Provence-Alpes-Côte d'Azur,A,19.0
Provence-Alpes-Côte d'Azur,A,0.0
Provence-Alpes-Côte d'Azur,A,3.0
Auvergne-Rhône-Alpes,A,3.0
Nouvelle-Aquitaine,A,2.0
Nouvelle-Aquitaine,A,14.0
Nouvelle-Aquitaine,A,31.0
Nouvelle-Aquitaine,A,1.0
Nouvelle-Aquitaine,A,6.0
Nouvelle-Aquitaine,A,6.0
Nouvelle-Aquitaine,A,1.0
Nouvelle-Aquitaine,A,0.0
Nouvelle-Aquitaine,A,1.0
Bourgogne-Franche-Comté,A,1.0
Bretagne,A,4.0
Bretagne,A,3.0
Bretagne,A,1.0
Bretagne,A,2.0
Nouvelle-Aquitaine,A,1.0
Nouvelle-Aquitaine,A,2.0
Nouvelle-Aquitaine,A,2.0
Nouvelle-Aquitaine,A,3.0
Normandie,A,2.0
Normandie,A,1.0
Normandie,A,1.0
Normandie,A,1.0
Centre-Val de Loire,A,1.0
Bretagne,A,1.0
Bretagne,A,2.0
Bretagne,A,2.0
Bretagne,A,1.0
Occitanie,A,1.0
Occitanie,A,1.0
Occitanie,A,1.0
Occitanie,A,11.0
Occitanie,A,1.0
Occitanie,A,36.0
Occitanie,A,3.0
Occitanie,A,8.0
Occitanie,A,8.0
Occitanie,A,1.0
Occitanie,A,0.0
Occitanie,A,3.0
Occitanie,A,1.0
Nouvelle-Aquitaine,A,1.0
Nouvelle-Aquitaine,A,2.0
Nouvelle-Aquitaine,A,1.0
Nouvelle-Aquitaine,A,3.0
Occitanie,A,0.0
Occitanie,A,1.0
Occitanie,A,1.0
Occitanie,A,1.0
Occitanie,A,2.0
Occitanie,A,1.0
Occitanie,A,0.0
Occitanie,A,15.0
Occitanie,A,1.0
Occitanie,A,1.0
Bretagne,A,1.0
Bretagne,A,1.0
Bretagne,A,1.0
Bretagne,A,1.0
Centre-Val de Loire,A,1.0
Centre-Val de Loire,A,9.0
Centre-Val de Loire,A,1.0
Centre-Val de Loire,A,5.0
Auvergne-Rhône-Alpes,A,22.0
Auvergne-Rhône-Alpes,A,2.0
Auvergne-Rhône-Alpes,A,0.0
Auvergne-Rhône-Alpes,A,2.0
Bourgogne-Franche-Comté,A,1.0
Bourgogne-Franche-Comté,A,3.0
Bourgogne-Franche-Comté,A,3.0
Bourgogne-Franche-Comté,A,4.0
Bourgogne-Franche-Comté,A,6.0
Bourgogne-Franche-Comté,A,9.0
Nouvelle-Aquitaine,A,4.0
Nouvelle-Aquitaine,A,1.0
Nouvelle-Aquitaine,A,2.0
Nouvelle-Aquitaine,A,5.0
Centre-Val de Loire,A,5.0
Centre-Val de Loire,A,1.0
